© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Workspace	My Projects
Project	AIH_WGCNA
Analysis	top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Date	Thu May 09 22:09:57 PDT 2019
Analysis ID	17791075

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Axonal Guidance Signaling	5.13E-01	NaN	2.00E-03	KEL,	
Xenobiotic Metabolism Signaling	7.03E-01	NaN	3.30E-03	FTL,	
Sirtuin Signaling Pathway	7.17E-01	NaN	3.42E-03	SLC2A1,	
AMPK Signaling	8.19E-01	NaN	4.42E-03	SLC2A1,	
NRF2-mediated Oxidative Stress Response	8.56E-01	NaN	4.85E-03	FTL,	
Acute Phase Response Signaling	9.13E-01	NaN	5.59E-03	FTL,	
Iron homeostasis signaling pathway	1.02E00	NaN	7.30E-03	FTL,	
HIF1α Signaling	1.05E00	NaN	7.75E-03	SLC2A1,	
Antioxidant Action of Vitamin C	1.11E00	NaN	9.01E-03	SLC2A1,	
TR/RXR Activation	1.15E00	NaN	1.00E-02	SLC2A1,	
IL-7 Signaling Pathway	1.19E00	NaN	1.08E-02	SLC2A1,	
Renal Cell Carcinoma Signaling	1.19E00	NaN	1.08E-02	SLC2A1,	
Autophagy	1.36E00	NaN	1.64E-02	CTSB,	
SPINK1 Pancreatic Cancer Pathway	1.37E00	NaN	1.67E-02	CTSB,	
PFKFB4 Signaling Pathway	1.48E00	NaN	2.17E-02	HK1,	
BAG2 Signaling Pathway	1.51E00	NaN	2.33E-02	CTSB,	
Inflammasome pathway	1.84E00	NaN	5.00E-02	CTSB,	
Vitamin-C Transport	1.94E00	NaN	6.25E-02	SLC2A1,	
Glucose and Glucose-1-phosphate Degradation	2.1E00	NaN	9.09E-02	HK1,	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.1E00	NaN	9.09E-02	HK1,	
GDP-glucose Biosynthesis	2.14E00	NaN	1.00E-01	HK1,	
Phagosome Maturation	2.3E00	NaN	1.35E-02	RILP,CTSB	
Trehalose Degradation II (Trehalase)	2.44E00	NaN	2.00E-01	HK1,	

Upstream Regulators for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
CER1	cytokine	3	 	 	0.000	2.76E-04	2.38E-02	BMP,BMP2,BMP4,CER1,ERK1/2,FLT1,NFkB (complex),Wnt	 	6 (8)	5	 	 	 	 	 	 	 	 	 	
CSF2RB	transmembrane receptor	2	 	 	0.000	3.51E-04	4.15E-02	AKT1,CSF2RB,IRS2,LYN,MAPK1,NFkB (complex),PI3K (complex),SHC1,STAT3,STAT5A	 	6 (10)	9	CD38,CSF2,IL3,IL5,SRC	 	 	 	 	 	 	 	 	
CDH16	enzyme	3	 	 	0.000	3.57E-04	4.70E-03	AKT1,CDH16,CEBPA,CEBPB,EGR1,ERK1/2,ESR1,GATA1,HRAS,MAP2K1/2,MITF,MTOR,MYC,NFE2L2,NFkB (complex),PGR,PI3K (complex),RAF1,RICTOR,RPS6KA1,SGK1,SHC1,Stat3-Stat3,TNFSF11	 	10 (24)	20	 	 	 	 	 	 	 	 	 	
Stat3-Stat3	complex	3	 	 	0.000	4.12E-04	2.12E-02	CDKN1A,CEBPA,F2,HIRA,MYC,PI3K (complex),SP1,STAT3,Stat3-Stat3	 	9 (9)	9	 	 	 	 	 	 	 	 	 	
USP37	peptidase	3	 	 	0.000	4.19E-04	2.57E-02	CDKN1B,CEBPB,F2,HRAS,MYC,RARA,SP1,tretinoin,USP37	 	9 (9)	6	 	 	 	 	 	 	 	 	 	
PI 3-kinase inhibitor	chemical drug	2	 	 	0.000	4.42E-04	2.38E-02	AKT1,CEBPB,MAPK1,NOS2,PI 3-kinase inhibitor,PI3K (family)	 	5 (6)	5	 	 	 	 	PI3K (family)	 	 	 	 	
ABCB6	transporter	1	 	 	0.000	4.50E-04	2.80E-03	ABCB6	 	2 (1)	1	hemin	 	 	 	KLF1	 	 	 	 	
aldesleukin	biologic drug	3	 	 	0.000	5.03E-04	4.96E-02	aldesleukin,ERK1/2,HRAS,IL2,IL2RA,IL2RB,IL2RG,PI3K (complex),SHC1,STAT3,STAT5A,STAT6	 	6 (12)	8	 	 	 	IFNGR2	 	 	 	 	 	
Z-Asp-2,6-dichlorobenzoyl-oxymethylketone	chemical toxicant	3	 	 	0.000	5.25E-04	4.29E-02	BAX,BID,CASP3,DICER1,IL18,LPL,NFkB (complex),PI3K (complex),PRKCD,Z-Asp-2,6-dichlorobenzoyl-oxymethylketone	 	6 (10)	8	 	 	 	 	 	 	 	 	 	
MMP8	peptidase	3	 	 	0.000	5.59E-04	5.00E-03	CEBPA,CEBPB,CXCL8,EGFR,EGR1,ERK1/2,ESR1,GATA1,HRAS,hydrogen peroxide,Interferon alpha,MITF,MMP8,MYC,NFE2L2,NFkB (complex),PGR,PI3K (complex),PI3K (family),SGK1,SHC1,Stat3-Stat3	 	10 (22)	20	 	 	 	 	TGFB1	 	 	 	 	
STAT4	transcription regulator	2	 	 	0.000	5.61E-04	4.69E-02	IFNG,STAT3,STAT4	 	6 (3)	3	TCR	TGFB1	 	ATF4,BAD,FURIN,MATK,PPP1R13L	 	 	 	 	 	
GATA3	transcription regulator	2	 	 	0.000	5.75E-04	4.50E-02	GATA3,IFNG,IL10,STAT4	 	6 (4)	3	TCR	IDO1,TGFB1	 	IL3,IL5	 	 	 	 	 	
CD47	transmembrane receptor	2	 	 	0.000	5.90E-04	9.30E-03	CD47,Cdc42,LYN	 	3 (3)	3	 	 	 	CSF1	 	 	 	 	 	
IFNGR2	transmembrane receptor	3	 	 	0.000	6.31E-04	3.42E-02	CEBPA,HRAS,IFNGR2,JAK1,JAK2,NOS2,PI3K (complex),SHC1,SP1,STAT1,STAT3,STAT4	 	8 (12)	8	aldesleukin	 	 	 	 	 	 	 	 	
Ifnz (includes others)	cytokine	3	 	 	0.000	6.59E-04	3.52E-02	CEBPA,HRAS,Ifnz (includes others),JAK1,JAK2,NOS2,PI3K (complex),SHC1,SP1,STAT1,STAT3,STAT4,TYK2	 	8 (13)	8	 	 	 	 	 	 	 	 	 	
CSF1	cytokine	2	 	 	0.000	6.77E-04	3.52E-02	CSF1,ERK1/2,HRAS,LYN,MAP2K1,MAPK1,MITF,NFkB (complex),PI3K (complex),SHC1,SMPD1,SRC,TNF	 	8 (13)	13	CD47,CSF2,IL3,Pdgfra-Pdgfrb,RET,TGFB1	 	 	EIF4EBP1,FN1,HMGCR,SLC2A1,SRC	SMPD1	 	 	 	 	
RET	kinase	2	 	 	0.000	6.97E-04	4.26E-02	AKT1,ATF4,ELK1,ESR1,HRAS,MTOR,PI3K (complex),RET,SHC1,SRC,STAT3	 	7 (11)	10	 	 	 	ATF4,CSF1,CSF2	 	 	 	 	 	
BAG2	other	1	 	 	0.000	7.36E-04	1.50E-03	BAG2	 	1 (1)	1	 	 	 	PINK1	 	 	 	 	 	
CDC42BPB	kinase	1	 	 	0.000	7.36E-04	1.50E-03	CDC42BPB	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
GSE1	other	1	 	 	0.000	7.36E-04	4.90E-03	GSE1	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
Ggt	group	1	 	 	0.000	7.36E-04	4.90E-03	Ggt	 	1 (1)	1	CSF2,IL5	 	 	 	 	 	 	 	 	
NBR2	other	1	 	 	0.000	7.36E-04	5.40E-03	NBR2	 	1 (1)	1	phenformin	 	 	SLC2A1	 	 	 	 	 	
SLC2A12	transporter	1	 	 	0.000	7.36E-04	7.00E-04	SLC2A12	 	1 (1)	1	 	SLC2A4	 	 	 	 	 	 	 	
azide	chemical reagent	1	 	 	0.000	7.36E-04	5.40E-03	azide	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
SERPINC1	enzyme	2	 	 	0.000	7.39E-04	4.92E-02	F2,NFkB (complex),NFKBIA,NOS2,SERPINC1	 	5 (5)	4	 	 	 	 	 	 	 	 	 	
ganglioside GD1b	chemical - endogenous mammalian	3	 	 	0.000	7.53E-04	8.00E-03	CASP3,CEBPA,CEBPB,EGR1,ERK1/2,ESR1,FGF2,ganglioside GD1b,GATA1,HRAS,IL18,MITF,MYC,NFE2L2,NFkB (complex),P38 MAPK,PGR,PI3K (complex),SGK1,SHC1,Stat3-Stat3	 	10 (21)	18	 	 	 	 	IL5	 	 	 	 	
hispidulin	chemical drug	2	 	 	0.000	7.76E-04	2.78E-02	advanced glycation end-products,ERK1/2,hispidulin,MTOR,PI3K (complex)	 	4 (5)	4	 	 	 	 	 	 	 	 	 	
bumetanide	chemical drug	3	 	 	0.000	7.84E-04	8.40E-03	bumetanide,CASP3,CEBPA,CEBPB,EGFR,EGR1,ERK1/2,ESR1,GATA1,HRAS,IL18,MITF,MYC,NFE2L2,NFkB (complex),PGR,PI3K (complex),PI3K (family),SGK1,SHC1,Stat3-Stat3	 	10 (21)	19	 	 	 	 	 	 	 	 	 	
PINK1	kinase	3	 	 	0.000	8.42E-04	2.57E-02	APLN,BAX,CASP3,DICER1,HIF1A,IL18,NOS2,PARP1,PINK1,VEGFA,VHL	 	8 (11)	8	BAG2,TGFB1	 	 	SLC2A1	EIF4EBP1	 	 	 	 	
SP1-c-Myc	complex	2	 	 	0.000	8.50E-04	3.45E-02	MYC,SP1,SP1-c-Myc	 	5 (3)	2	 	 	 	 	 	 	 	 	 	
pranlukast	chemical drug	3	 	 	0.000	8.53E-04	2.94E-02	AMPK,BAX,BID,CASP3,DICER1,ERK1/2,HNF4A,HRAS,IL18,Insulin,MAPK1,PGR,PI3K (complex),pranlukast,PRKCD,TP53	 	8 (16)	14	 	 	 	 	 	 	 	 	 	
methazolamide	chemical drug	3	 	 	0.000	9.00E-04	2.08E-02	CA3,CA4,CA9,methazolamide,NFkB (complex),SRC	 	4 (6)	3	 	 	 	 	CA4	 	 	 	 	
sulfacetamide	chemical drug	3	 	 	0.000	9.00E-04	2.08E-02	CA3,CA4,CA9,NFkB (complex),SRC,sulfacetamide	 	4 (6)	3	 	 	 	 	CA4	 	 	 	 	
HDL-cholesterol	complex	2	 	 	0.000	9.00E-04	1.40E-02	cholesterol,EIF4EBP1,HDL-cholesterol	 	3 (3)	2	HIF1AN,nicotinic acid	SMPD1	 	 	EIF4EBP1	 	 	 	 	
benzthiazide	chemical drug	3	 	 	0.000	9.06E-04	2.09E-02	benzthiazide,CA3,CA4,CA9,NFkB (complex),SRC	 	4 (6)	3	 	 	 	 	CA4	 	 	 	 	
chlorthalidone	chemical drug	3	 	 	0.000	9.06E-04	2.09E-02	CA3,CA4,CA9,chlorthalidone,NFkB (complex),SRC	 	4 (6)	3	 	 	 	 	CA4	 	 	 	 	
chlorothiazide	chemical drug	3	 	 	0.000	9.22E-04	2.13E-02	CA3,CA4,CA9,chlorothiazide,NFkB (complex),SRC	 	4 (6)	3	 	 	 	 	CA4	 	 	 	 	
IL5	cytokine	1	 	 	0.000	1.10E-03	1.29E-02	IL5	 	3 (1)	1	GATA3,TCR	dichloroacetic acid,ganglioside GD1b,hemin,PPIA	 	ATF4,CA4,CSF2RB,EIF4EBP1,Ggt,HMGCR,NFE2,SLC2A1,SMAD2	 	 	 	 	 	
VHL	transcription regulator	1	 	 	0.000	1.12E-03	9.60E-03	VHL	 	2 (1)	1	TRPM2	WSB1	 	FN1,FTH1	ACO1,EPAS1,HIF3A,IREB2,NOX4,PRKCI,SKP2,SLC2A1	 	 	 	 	
nicotinic acid	chemical - endogenous mammalian	2	 	 	0.000	1.16E-03	4.03E-02	ERK1/2,NFkB (complex),nicotinic acid,TDO2	 	4 (4)	3	 	 	 	HDL-cholesterol,TDO2	 	 	 	 	 	
(-)-isoproterenol	chemical drug	3	 	 	0.000	1.18E-03	1.03E-02	(-)-isoproterenol,CEBPA,CEBPB,EGFR,EGR1,ERK1/2,ESR1,GATA1,HRAS,MAPK1,MAPK3,MITF,MYC,NFE2L2,NFkB (complex),PGR,PI3K (complex),PI3K (family),SGK1,SHC1,SNAI2,Stat3-Stat3	 	10 (22)	20	 	 	 	 	 	 	 	 	 	
vatalanib	chemical drug	3	 	 	0.000	1.20E-03	8.00E-03	Akt,AKT1,CASP3,CEBPA,CEBPB,EGR1,ERK1/2,ESR1,GATA1,HRAS,IL18,KDR,MITF,MYC,NFE2L2,NFkB (complex),Pdgf (complex),PGR,SGK1,SHC1,SLC2A1,Stat3-Stat3,TNFSF11,vatalanib	 	9 (24)	19	 	 	 	 	 	 	 	 	 	
C1QTNF12	other	3	 	 	0.000	1.21E-03	8.50E-03	AKT1,C1QTNF12,CEBPA,CEBPB,EGR1,ERK1/2,ESR1,GATA1,Insulin,IRS1,MITF,MYC,NFE2L2,NFkB (complex),PGR,PI3K (complex),SGK1,SHC1,Stat3-Stat3,TNFSF11	 	9 (20)	18	L-dopa	 	 	 	 	 	 	 	 	
PD 173958	chemical - kinase inhibitor	2	 	 	0.000	1.24E-03	1.58E-02	LYN,PD 173958,PRKCD,SRC	 	3 (4)	3	 	 	 	 	SRC	 	 	 	 	
N-(3-(aminomethyl)benzyl)acetamidine	chemical reagent	2	 	 	0.000	1.27E-03	2.55E-02	IREB2,N-(3-(aminomethyl)benzyl)acetamidine,NOS1,NOS2	 	3 (4)	3	 	 	 	IREB2	NOS1	 	 	 	 	
GCG	other	1	 	 	0.000	1.36E-03	9.00E-03	GCG	 	2 (1)	1	 	 	 	ADP,PDX1,PPP1R3C,SLC2A1,SLC2A4,SRC	EIF4EBP1	 	 	 	 	
hemin	chemical - endogenous mammalian	1	 	 	0.000	1.40E-03	7.20E-03	hemin	 	2 (1)	1	 	 	 	ABCB6,FTH1,IDO1,SLC2A4	8-epi-prostaglandin F2alpha,ACO1,CSF2,IL5	 	 	 	 	
bazedoxifene	chemical drug	3	 	 	0.000	1.43E-03	1.91E-02	AKT1,bazedoxifene,CEBPA,ERK1/2,ESR1,estrogen receptor,GATA1,MITF,MYC,PI3K (complex),SGK1,TNFSF11	 	9 (12)	10	 	 	 	 	 	 	 	 	 	
bosutinib	chemical drug	2	 	 	0.000	1.45E-03	2.14E-02	ABL1,bosutinib,LYN,SRC	 	3 (4)	3	 	 	 	 	SRC	 	 	 	 	
8-aminoadenosine	chemical reagent	1	 	 	0.000	1.47E-03	9.10E-03	8-aminoadenosine	 	1 (1)	1	 	 	 	 	EIF4EBP1,SLC2A1,SLC2A4	 	 	 	 	
Alpha 1 antitrypsin	group	1	 	 	0.000	1.47E-03	1.50E-03	Alpha 1 antitrypsin	 	1 (1)	1	TGFB1	 	 	 	ELANE	 	 	 	 	
SNED1	other	1	 	 	0.000	1.47E-03	9.10E-03	SNED1	 	1 (1)	1	 	 	 	SLC2A1,SLC2A4	 	 	 	 	 	
TXNDC5	enzyme	1	 	 	0.000	1.47E-03	1.50E-03	TXNDC5	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
dimethyl succinate	chemical - endogenous mammalian	1	 	 	0.000	1.47E-03	1.06E-02	dimethyl succinate	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
gliclazide	chemical drug	1	 	 	0.000	1.47E-03	7.30E-03	gliclazide	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
glucose oxidase	group	1	 	 	0.000	1.47E-03	1.07E-02	glucose oxidase	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
Il18r	complex	2	 	 	0.000	1.53E-03	1.45E-02	Il18r,PI3K (complex),SRC	 	3 (3)	2	 	 	 	SRC	 	 	 	 	 	
ADAM12	peptidase	2	 	 	0.000	1.63E-03	1.81E-02	ADAM12,PI3K (complex),SRC	 	3 (3)	2	FURIN,TGFB1	 	 	SRC	 	 	 	 	 	
TTK	kinase	3	 	 	0.000	1.66E-03	4.74E-02	CDK2,CEBPA,CEBPB,L-threonine,L-tyrosine,MYC,PGR,PI3K (complex),RICTOR,SNAI2,SP1,TP53,TTK	 	9 (13)	9	 	 	 	 	 	 	 	 	 	
glycosphingolipid	chemical - other	2	 	 	0.000	1.71E-03	1.29E-02	glycosphingolipid,LYN,Secretase gamma	 	2 (3)	2	 	 	 	 	 	 	 	 	 	
GP130 dimer	complex	3	 	 	0.000	1.84E-03	4.87E-02	AKT1,CEBPB,ELK1,ESR1,GP130 dimer,HRAS,IL6ST,MITF,MTOR,MYC,NFkB (complex),PI3K (complex),RAS,SRF,STAT3,STAT5A,TSC2	 	8 (17)	14	 	 	 	 	 	 	 	 	 	
MATK	kinase	2	 	 	0.000	1.87E-03	4.41E-02	LYN,MATK,SRC	 	3 (3)	2	STAT4	 	 	 	SRC	 	 	 	 	
benzamidine	chemical - protease inhibitor	3	 	 	0.000	1.88E-03	4.46E-02	ACPP,benzamidine,ERBB2,ERK1/2,GZMK,KLK3,PI3K (complex),PLAU,SHC1	 	4 (9)	5	 	 	 	 	 	 	 	 	 	
PTGER3	G-protein coupled receptor	3	 	 	0.000	1.90E-03	2.29E-02	CEBPA,CEBPB,EGR1,ERK1/2,GATA1,HRAS,MAPK1,MAPK3,MITF,MYC,NFE2L2,PI3K (complex),PTGER3,RHOA,SGK1,SHC1,SNAI2,SP1,Stat3-Stat3	 	9 (19)	16	PDX1	 	 	 	 	 	 	 	 	
nonylphenol	chemical toxicant	3	 	 	0.000	1.98E-03	2.57E-02	Akt,ESR1,GATA1,Jnk,Mapk,MAPK1,MITF,nonylphenol,PDX1,RICTOR,SNAI2	 	8 (11)	8	 	 	 	 	 	 	 	 	 	
Pdgfra-Pdgfrb	complex	2	 	 	0.000	2.20E-03	2.52E-02	Pdgfra-Pdgfrb,PI3K (complex),SPHK1,SRC	 	3 (4)	3	 	 	 	CSF1,SRC	 	 	 	 	 	
PRKD3	kinase	3	 	 	0.000	2.20E-03	1.59E-02	Akt,CEBPA,CEBPB,EGR1,ERK,ERK1/2,ESR1,GATA1,MITF,MTORC1,MYC,NFE2L2,NFkB (complex),NOS2,PDX1,PGR,PI3K (complex),PRKD3,RICTOR,RPS6KB1,RTKN,SGK1,SHC1,SLC2A1,Stat3-Stat3	 	9 (25)	20	 	L-dopa	 	 	 	 	 	 	 	
CTNS	transporter	1	 	 	0.000	2.21E-03	2.60E-03	CTNS	 	1 (1)	1	 	 	 	TFEB	 	 	 	 	 	
FTMT	enzyme	1	 	 	0.000	2.21E-03	8.50E-03	FTMT	 	1 (1)	1	 	 	 	 	FTH1	 	 	 	 	
PPP1R3C	phosphatase	1	 	 	0.000	2.21E-03	5.40E-03	PPP1R3C	 	1 (1)	1	GCG	 	 	 	SLC2A1	 	 	 	 	
SDHA	enzyme	1	 	 	0.000	2.21E-03	9.10E-03	SDHA	 	1 (1)	1	 	PDX1,TCR	 	 	SLC2A1,SLC2A4	 	 	 	 	
SLC48A1	transporter	1	 	 	0.000	2.21E-03	1.38E-02	SLC48A1	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
ethyl-3-trifluoromethylbenzyl-alpha-ketoglutarate	chemical reagent	1	 	 	0.000	2.21E-03	1.05E-02	ethyl-3-trifluoromethylbenzyl-alpha-ketoglutarate	 	1 (1)	1	 	 	 	 	SLC2A1	 	 	 	 	
interferon beta-1b	biologic drug	1	 	 	0.000	2.21E-03	4.70E-03	interferon beta-1b	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
RAPGEF2	other	3	 	 	0.000	2.23E-03	2.40E-02	CEBPA,CEBPB,EGR1,ELK1,ERK1/2,ESR1,GATA1,HRAS,MITF,MYC,NFE2L2,NFkB (complex),PGR,PI3K (complex),RAPGEF2,RAS,SGK1,SHC1,Stat3-Stat3	 	9 (19)	17	 	 	 	 	 	 	 	 	 	
SRC	kinase	1	 	 	0.000	2.31E-03	8.80E-03	SRC	 	2 (1)	1	ADAM12,CSF1,GCG,Il18r,IL3,NOX4,Pdgfra-Pdgfrb,TGFB1,xanthine	bosutinib,MATK,nintedanib,PD 173958	 	CD46,CSF2,CSF2RB,DAG1,PIK3CB,SLC2A1,ZAP70	NOS1	 	 	 	 	
L-tryptophan	chemical - endogenous mammalian	2	 	 	0.000	2.34E-03	3.22E-02	L-tryptophan,MTOR,PI3K (complex)	 	3 (3)	3	 	TDO2	 	 	 	 	 	 	 	
caffeic acid phenethyl ester	chemical drug	1	 	 	0.000	2.36E-03	1.43E-02	caffeic acid phenethyl ester	 	2 (1)	1	 	 	 	FTH1,TGFB1	CSF2	 	 	 	 	
nitroglycerin	chemical drug	2	 	 	0.000	2.39E-03	3.79E-02	ALDH2,MMP9,nitroglycerin,NOS1,XDH	 	3 (5)	4	 	 	 	 	NOS1	 	 	 	 	
HMGCR	enzyme	3	 	 	0.000	2.59E-03	3.98E-02	CASP3,CEBPA,ERK1/2,F2,GATA1,HMGCR,HRAS,IL18,MYC,PI3K (complex),RAS	 	7 (11)	7	CSF1,CSF2,IL5	hydroxypropyl-beta-cyclodextrin,SYVN1	 	 	 	 	 	 	 	
NKX2-5	transcription regulator	2	 	 	0.000	2.73E-03	3.34E-02	GATA1,NKX2-5,SRF	 	3 (3)	2	 	 	 	 	 	 	 	 	 	
DISC1	other	2	 	 	0.000	2.85E-03	3.52E-02	ATF4,DISC1,ERK1/2	 	3 (3)	2	 	 	 	 	ATF4	 	 	 	 	
HCAR1	G-protein coupled receptor	1	 	 	0.000	2.94E-03	1.62E-02	HCAR1	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
PAK4	kinase	1	 	 	0.000	2.94E-03	8.90E-03	PAK4	 	1 (1)	1	 	 	 	 	BAD	 	 	 	 	
TDO2	enzyme	1	 	 	0.000	2.94E-03	6.20E-03	TDO2	 	1 (1)	1	nicotinic acid	 	 	 	L-tryptophan	 	 	 	 	
firtecan pegol	chemical drug	1	 	 	0.000	2.94E-03	1.18E-02	firtecan pegol	 	1 (1)	1	 	 	 	 	SLC2A1	 	 	 	 	
methylamine	chemical - endogenous mammalian	1	 	 	0.000	2.94E-03	5.40E-03	methylamine	 	1 (1)	1	 	 	 	FN1,SLC2A1	 	 	 	 	 	
phenformin	chemical drug	1	 	 	0.000	2.94E-03	1.43E-02	phenformin	 	1 (1)	1	 	 	 	NBR2,SLC2A1	ATF4	 	 	 	 	
PI3K (family)	group	1	 	 	0.000	2.96E-03	1.29E-02	PI3K (family)	 	2 (1)	1	FCGR1A,PIK3CB	PI 3-kinase inhibitor	 	FTH1,SLC2A1	ATG7,BAD	 	 	 	 	
PDX1	transcription regulator	1	 	 	0.000	3.67E-03	2.34E-02	PDX1	 	2 (1)	1	GCG	 	 	ATF4,PTGER3,SLC2A1,TFAM	SDHA	 	 	 	 	
rebastinib	chemical drug	2	 	 	0.000	3.67E-03	2.47E-02	ABL1,LYN,rebastinib	 	2 (3)	2	 	 	 	 	 	 	 	 	 	
ABCB7	transporter	1	 	 	0.000	3.67E-03	1.08E-02	ABCB7	 	1 (1)	1	 	 	 	ACO1,FTH1	 	 	 	 	 	
CDR2	other	1	 	 	0.000	3.67E-03	1.78E-02	CDR2	 	1 (1)	1	 	 	 	 	SLC2A1	 	 	 	 	
PINK1	kinase	1	 	 	0.000	3.67E-03	1.15E-02	PINK1	 	1 (1)	1	BAG2,TGFB1	 	 	SLC2A1	EIF4EBP1	 	 	 	 	
ferric chloride	chemical toxicant	1	 	 	0.000	3.67E-03	1.20E-02	ferric chloride	 	1 (1)	1	 	 	 	FTH1,TGFB1	 	 	 	 	 	
glimepiride	chemical drug	1	 	 	0.000	3.67E-03	1.78E-02	glimepiride	 	1 (1)	1	 	 	 	SLC2A1,SLC2A4	 	 	 	 	 	
histidinol	chemical - endogenous mammalian	1	 	 	0.000	3.67E-03	1.51E-02	histidinol	 	1 (1)	1	 	 	 	ATF4	 	 	 	 	 	
temsirolimus	chemical drug	1	 	 	0.000	3.67E-03	1.10E-02	temsirolimus	 	1 (1)	1	 	 	 	 	EIF4EBP1,SLC2A1	 	 	 	 	
ATF4	transcription regulator	1	 	 	0.000	4.15E-03	2.26E-02	ATF4	 	2 (1)	1	histidinol,IL5,PDX1,RET,STAT4	ATG7,DISC1,phenformin	 	APBA3,EIF4EBP1,NOX4	 	 	 	 	 	
HDAC5	transcription regulator	2	 	 	0.000	4.16E-03	4.73E-02	GATA1,HDAC5,MYOD1	 	3 (3)	2	TRPM2	 	 	 	SLC2A4	 	 	 	 	
EPAS1	transcription regulator	1	 	 	0.000	4.27E-03	3.38E-02	EPAS1	 	2 (1)	1	NOX4	HIF3A,Irp,TRPM2,VHL	 	FN1,SLC2A1	SLC2A4	 	 	 	 	
TPOR dimer	complex	2	 	 	0.000	4.40E-03	2.10E-02	IRS2,SHC1,TPOR dimer	 	2 (3)	2	 	 	 	 	 	 	 	 	 	
APBA3	transporter	1	 	 	0.000	4.41E-03	9.90E-03	APBA3	 	1 (1)	1	ATF4	 	 	SLC2A1	 	 	 	 	 	
Cbp/p300-Maf-Nfe2l2	complex	1	 	 	0.000	4.41E-03	1.09E-02	Cbp/p300-Maf-Nfe2l2	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
WDFY2	other	1	 	 	0.000	4.41E-03	1.69E-02	WDFY2	 	1 (1)	1	 	 	 	SLC2A1,SLC2A4	 	 	 	 	 	
miR-133a-3p (and other miRNAs w/seed UUGGUCC)	mature microRNA	2	 	 	0.000	4.53E-03	4.43E-02	AKT1,ERK1/2,miR-133a-3p (and other miRNAs w/seed UUGGUCC)	 	3 (3)	3	 	 	 	 	SLC2A4	 	 	 	 	
5'-guanylylimidodiphosphate	chemical reagent	2	 	 	0.000	4.59E-03	2.94E-02	5'-guanylylimidodiphosphate,ACO1,ANXA7	 	2 (3)	2	 	 	 	 	ACO1	 	 	 	 	
vinorelbine	chemical drug	3	 	 	0.000	5.03E-03	4.54E-02	AMPK,CASP3,DICER1,ESR1,HRAS,IL18,Insulin,PGR,PI3K (complex),STK11,vinorelbine	 	7 (11)	8	 	 	 	 	 	 	 	 	 	
2-mercaptoethanol	chemical - endogenous mammalian	1	 	 	0.000	5.14E-03	1.26E-02	2-mercaptoethanol	 	1 (1)	1	 	 	 	SLC2A1	IDO1	 	 	 	 	
ABL2	kinase	1	 	 	0.000	5.14E-03	1.43E-02	ABL2	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
ACO1	enzyme	1	 	 	0.000	5.14E-03	1.31E-02	ACO1	 	1 (1)	1	ABCB7	5'-guanylylimidodiphosphate,ferric ammonium citrate,hemin,VHL	 	 	FTH1	 	 	 	 	
CCNT1	transcription regulator	1	 	 	0.000	5.14E-03	1.44E-02	CCNT1	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
CTSE	peptidase	1	 	 	0.000	5.14E-03	1.02E-02	CTSE	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
LRP2	transporter	1	 	 	0.000	5.14E-03	2.14E-02	LRP2	 	1 (1)	1	CLCN5	 	 	 	 	 	 	 	 	
pictilisib	chemical drug	1	 	 	0.000	5.14E-03	1.52E-02	pictilisib	 	1 (1)	1	 	 	 	TFEB	PIK3CB,SLC2A1	 	 	 	 	
CD38	enzyme	1	 	 	0.000	5.39E-03	2.35E-02	CD38	 	2 (1)	1	CSF2	 	 	CSF2RB,EIF4EBP1,SLC2A1	 	 	 	 	 	
